Id,Label,Followers,Lang
2186460294,MrDash109,7868,None
427814660,MIKEYDBARNES1,13,None
423610335,LeonardRoxon,10185,None
59983512,ggpamapawley,358,None
1133080981869617152,tx_mills,8233,None
1180926113205194753,hope_fulfilled,596,None
1663695577,AnnFavela,1806,None
228736760,ginap4462,1860,None
1193590927845142529,lucas_cherri,599,None
1154854837168816129,nyorozos,269,None
1065097394298195969,Cobalon_,159,None
1309577288393068544,FafoDefense,1090,None
1016671273,StayHomeHania,9739,None
21348967,charlotteirene8,7115,None
786201344759562240,nivchara_yahel,125,None
1380158129569153034,Daisymakesrings,102,None
1256396747183722498,TarotByRaqui,651,None
809541877,rogerthephoto,58,None
1206227149,repmarkpocan,107408,None
2577813182,Finpli,120,None
622005537,veropat7,93,None
1250570398971953152,JimMurp77852985,1132,None
2861594217,chimichangakinz,1163,None
14371758,amdesimone,1089,None
21703499,amysweezey,27090,None
1348838681218572291,jojodan11592387,2182,None
40765010,Deggins8,5913,None
2796258741,seongqt,1034,None
1034868411354861568,STabbytosavit,35821,None
972811,Harlem,1319,None
1250415192053182467,neil_runkel,42,None
13850422,CNNPolitics,4118727,None
1418134548,GotMyAR15,1281,None
1730274660,Jan_Tucker_58,2283,None
1358259885431877635,s0rbit,18,None
261968316,gatorsgirl80,2139,None
79771637,LAAbshire,211,None
1328140450755055617,PSYCHICFlRE,184,None
113355835,iSarang_,980,None
77896118,RajatDutta13,1282,None
895390019824779265,Ditchdigger51,301,None
17456860,prinzrob,2560,None
723243350803902464,ebyesterday,5086,None
1377416112728576000,rodsmonster1,18,None
95368728,pollreport,25847,None
107583191,OpinionToday,5037,None
810991795857395712,candeebird,851,None
1112203026935222273,robsterclaw1,90,None
1369801518187220993,hesbianmayu,142,None
1280594725939142663,mothcharm,32100,None
863907490488094721,JKBGigi,5481,None
397465217,TaurielloDan,10258,None
1344736117359333377,LOOPY_LORD,28,None
1002645371942629377,HenriettaSnacks,4452,None
968047699,proudtigerlsu,5181,None
27913658,prehmbo,5477,None
872221007901319170,Rwhite506,1721,None
786752147702575104,KarenLTaylor2,3583,None
2158994620,kthedefused,940,None
39664796,j_w_84,984,None
1248262742961782785,NedAustin4,35,None
1099781327489024003,Hold2LLC,15352,None
1376718551667646465,VicMacky1,699,None
2780722525,berlinbarbarism,5054,None
1301559023620231169,lola_seaton,831,None
2223667944,BLKCAT39,32,None
797108390266814464,VoxAmerican,976,None
1324334156776689665,Crystal5mom,5504,None
1163499016971268096,ItsMeVictoriaa,3892,None
1314254333337243649,VickiXrp,1667,None
1926381835,GodessofChaos71,2542,None
44984619,BobFoolery,286,None
32293556,Qhj,134,None
1139645121534631936,csdefenselaw,58,None
1360629526737395720,sue_again,227,None
835226775915474944,DocInVT,1025,None
817073086071709696,QuintonGodsell,4403,None
1221320355966402561,NPride28,117,None
915712525945200640,Abanga69,537,None
387665903,Mr_Swrites,6077,None
320455063,jolu777,149,None
1103818127127834627,Trisha28409485,774,None
795423419219120128,TanksAlotBrad,3822,None
862312281996234752,j_marasa,4836,None
1451017040,flowermusickids,2613,None
3224609550,strawberry_bur,78,None
112282074,WellHelloSailor,56,None
2729061,doctorow,459092,None
719904229343817728,NCPatriotMom,1477,None
2442686571,mcbenaim,1369,None
411861905,AngieCraigMN,20514,None
812420800296927232,mirandamwilgus,89,None
1858759934,CoveredIllinois,4377,None
2285281946,cedg_cedric,177,None
826612549051359232,TheJman5626,1270,None
802416745952768000,Bernieshat,3648,None
1161532300703784960,Rebecca85348076,2531,None
3263043770,GuthrieTrudy,1720,None
4091551984,tribelaw,1142132,None
4427556922,vandevoo1,35,None
74170337,354Phantom,1306,None
4590409461,NoSeniorAllowed,474,None
807095,nytimes,49795794,None
1371612332418289665,yogigrl90,54,None
1367544448955998209,twofourtwo242,54,None
1295139630992351232,LitFam2021,263,None
1093216059987943424,TTR_PDX,406,None
381926772,BWaldoVANCITY,289,None
1198721737254408193,DeishunLeft,755,None
1344787685643333633,hellothere1299,2294,None
45673524,BrettaApplebaum,7779,None
17114215,scottplumerias,2479,None
1290066746251137024,R0TL0RDZ,116,None
944804173,horseshoe_talk,312,None
51779817,OldKanart,1455,None
1313965917152448512,mariahanrj,157,None
1304920193362165760,Angella99127010,109,None
244775645,grbusinaro,313,None
1314268519266160640,KeithCr83301506,8,None
1060578948910927873,DieFreeLiveFree,392,None
1216312160340652034,VictorAndJoshua,253,None
1019575909559472129,Bayor_arts,5018,None
2827048146,sdwig707,15,None
1059226035777167361,sIcpunks,107,None
932752116325552130,DGamered,399,None
132299087,adnill555,2259,None
783489062342631424,sun_usind,733,None
759511635870552064,BodemerGuy,3384,None
1252616555218649089,HereIAm65094900,3802,None
303429035,fortymileFrank,5375,None
482125578,mcarrollnni,10,None
89084870,MarianaChilton,2845,None
1353854230176686081,hddeuce0164,609,None
4866717149,MeruemGI,2792,None
2842156169,SteffanieACL,756,None
973689689449250816,Terri2cat,3639,None
827505879809454080,JChanSmith1,2005,None
1166866780620386304,JanetWe74616697,1632,None
394642242,club_ed8,2124,None
1069039619000492033,ravitheravioIi,108,None
996859430900727808,Melvin60310284,1738,None
438857586,iLikeToranDaily,1045,None
1246485519049142275,frederi11207529,1012,None
536068379,davidmatheson27,2105,None
1171254067193974784,BradfieldThe,2594,None
845552517169795072,JJYS0913,9818,None
34637675,nogajr,676,None
1063023543888347137,MarkTwenties,510,None
1257657917723082752,CrashPatriot,6096,None
555450691,AddictedTaU,659,None
1395839550,trooper2121,19238,None
1100394525674090498,Sebbi016,111,None
287855153,MJBizDaily,72355,None
1608673782,Ace_Boggs,395,None
1359846361,mmdarkzer0,42,None
1311403993902481415,TalullasMom,188,None
914315513815339008,BettyLe60527300,189,None
4888867697,terrinyc29,408,None
399809245,Shyla_Kirstyne,327,None
14297863,scottsantens,132350,None
64444064,SusanDavisNY,5767,None
1410977306,JeffBradach,2893,None
2524402283,dennisasmith02,549,None
235298923,psedghi,1557,None
1264475722703417345,fosky_emmanuel,111,None
724338801699516416,derpyunicorn20,814,None
809804175232090112,PhD1phd1,68,None
4866625996,terriblewis1,1220,None
847700148608155650,TheDogsOfWar11,1658,None
