Source,Target,Timestamp,Weight
ProcrastinatingReader,Politicsfan4,2021-02-09,8
SNUGGUMS,145422,2021-01-30,0.5
ReferenceMan,Felix558,2021-02-02,8
HAL333,145422,2021-02-05,0.5
RedHotPear,Yeungkahchun,2021-03-15,8
Politicsfan4,145422,2021-01-13,0.5
Cpotisch,Ciaran.london,2021-01-20,8
GoodDay,145422,2021-01-24,0.5
Juno,145422,2021-03-19,0.5
HAL333,145422,2021-01-26,0.5
FeydHuxtable,145422,2021-01-23,0.5
ReferenceMan,HAL333,2021-02-02,8
ProcrastinatingReader,KidAd,2021-02-07,8
Felix558,145422,2021-02-10,0.5
DividedFrame,Tomasz-Asiana-Ostrowski-2004,2021-01-27,2
AlsoWukai,Andrew nyr,2021-01-17,8
Wodgester,145422,2021-01-21,0.5
AleatoryPonderings,145422,2021-01-20,0.5
GreenC bot,145422,2021-03-02,0.5
M. Armando,145422,2021-01-09,0.5
Indy beetle,Angelic Wraith,2021-01-20,8
Woko Sapien,Tomasz-Asiana-Ostrowski-2004,2021-01-25,2
AbelAndCain,Lord Stephenson,2021-01-20,8
The Professor (Time Lord),145422,2021-01-21,0.5
Elizium23,145422,2021-01-20,0.5
Surtsicna,Felix558,2021-01-30,8
RedHotPear,145422,2021-03-13,0.5
Billmckern,Mirokado,2021-01-14,8
Cpotisch,145422,2021-01-20,0.5
Nick.mon,145422,2021-01-20,0.5
RedHotPear,Brucejoel99,2021-03-13,8
EEng,DanJWilde,2021-01-20,8
HAL333,Monkbot,2021-01-24,8
12george1,145422,2021-01-20,0.5
KidAd,J 1982,2021-01-24,8
Davidgoodheart,145422,2021-01-20,0.5
KidAd,Tomasz-Asiana-Ostrowski-2004,2021-01-13,2
Thanoscar21,145422,2021-01-24,0.5
SomeBodyAnyBody05,145422,2021-01-20,0.5
Eemiratess,145422,2021-01-20,0.5
Starship.paint,145422,2021-03-23,0.5
Politicsfan4,145422,2021-02-09,0.5
Surtsicna,Nick.mon,2021-01-08,8
ProcrastinatingReader,Politicsfan4,2021-02-07,8
Danloud,145422,2021-03-20,0.5
Eccekevin,145422,2021-01-21,0.5
Lent,145422,2021-01-08,0.5
Gen. Quon,145422,2021-01-21,0.5
X4n6,145422,2021-01-26,0.5
AlsoWukai,FeydHuxtable,2021-01-23,8
Paintspot,145422,2021-01-20,0.5
Reddevil0728,145422,2021-01-24,0.5
Politicsfan4,145422,2021-01-14,0.5
Popcornfud,145422,2021-01-22,0.5
AndriiDr,145422,2021-01-20,0.5
